ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi,kategorije,mechanic
UNO,2223,1971,2,10,30,30,6,5.36289,17725,"['Card Game', 'Comic Book \\/ Strip', 'Movies \\/ TV \\/ Radio theme', 'Number']","['Hand Management', 'Lose a Turn', 'Take That']"

Legendary: A Marvel Deck Building Game,129437,2012,1,5,45,45,14,7.59679,17709,"['Card Game', 'Comic Book \\/ Strip']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Solo \\/ Solitaire Game']"

Star Wars: Imperial Assault,164153,2014,2,5,60,120,14,8.05484,17611,"['Adventure', 'Fighting', 'Miniatures', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']"

Sagrada,199561,2017,1,4,30,45,14,7.55551,17622,"['Dice', 'Puzzle']","['Card Drafting', 'Dice Rolling', 'Pattern Building', 'Set Collection']"

Twilight Imperium (Third Edition),12493,2005,3,6,180,240,14,7.85977,17537,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Points', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Hexagon Grid', 'Increase Value of Unchosen Resources']"

Kingsburg,27162,2007,2,5,90,90,13,7.20879,17514,"['City Building', 'Dice', 'Fantasy', 'Medieval']","['Dice Rolling', 'Worker Placement with Dice Workers']"

Through the Ages: A New Story of Civilization,182028,2015,2,4,120,120,14,8.50909,17426,"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction\\/Bidding', 'Auction: Dutch', 'Card Drafting']"

Orléans,164928,2014,2,4,90,90,12,8.08116,17374,"['Medieval', 'Religious', 'Travel']","['Deck, Bag, and Pool Building', 'Point to Point Movement', 'Turn Order: Progressive', 'Worker Placement']"

Kingdom Builder,107529,2011,2,4,45,45,8,6.97684,17301,"['Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Enclosure', 'Hexagon Grid', 'Modular Board', 'Network and Route Building']"

Acquire,5,1964,2,6,90,90,12,7.34733,17287,['Economic'],"['Hand Management', 'Investment', 'Market', 'Ownership', 'Stock Holding', 'Tile Placement']"

Through the Ages: A Story of Civilization,25613,2006,2,4,120,120,12,7.98099,17152,"['Civilization', 'Economic']","['Action Points', 'Auction\\/Bidding', 'Auction: Dutch', 'Card Drafting', 'Hand Management']"

Tokaido,123540,2012,2,5,45,45,8,7.03165,17136,['Travel'],"['Point to Point Movement', 'Set Collection', 'Time Track', 'Variable Player Powers']"

Thurn and Taxis,21790,2006,2,4,60,60,13,7.10744,16976,"['Renaissance', 'Transportation']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"

BANG! The Dice Game,143741,2013,3,8,15,15,8,6.98302,16915,"['American West', 'Bluffing', 'Deduction', 'Dice', 'Fighting', 'Party Game']","['Dice Rolling', 'Player Elimination', 'Push Your Luck', 'Team-Based Game', 'Variable Player Powers']"

Isle of Skye: From Chieftain to King,176494,2015,2,5,30,50,8,7.45172,16817,"['Economic', 'Territory Building']","['Auction\\/Bidding', 'Catch the Leader', 'Set Collection', 'Tile Placement']"

Keyflower,122515,2012,2,6,90,120,12,7.84044,16663,"['City Building', 'Economic', 'Nautical', 'Renaissance', 'Territory Building', 'Transportation']","['Auction\\/Bidding', 'Memory', 'Modular Board', 'Network and Route Building', 'Pick-up and Deliver', 'Set Collection']"

The Voyages of Marco Polo,171623,2015,2,4,40,100,12,7.93372,16655,"['Dice', 'Economic', 'Medieval', 'Travel']","['Card Drafting', 'Contracts', 'Dice Rolling', 'Point to Point Movement', 'Set Collection', 'Variable Player Powers']"

Tikal,54,1999,2,4,90,90,10,7.34205,16609,"['Exploration', 'Territory Building']","['Action Points', 'Area Majority \\/ Influence', 'Auction\\/Bidding', 'Grid Movement', 'Hexagon Grid', 'Map Addition']"

Apples to Apples,74,1999,4,10,30,30,12,5.84479,16592,"['Card Game', 'Humor', 'Party Game']","['Hand Management', 'Player Judge', 'Simultaneous Action Selection']"

6 nimmt!,432,1994,2,10,45,45,8,6.89503,16591,['Card Game'],"['Hand Management', 'Kill Steal', 'Simultaneous Action Selection']"

Coloretto,5782,2003,2,5,30,30,8,6.96817,16400,"['Animals', 'Card Game']","['Card Drafting', 'Push Your Luck', 'Set Collection']"

Dominant Species,62219,2010,2,6,120,240,14,7.85101,16312,"['Animals', 'Environmental', 'Prehistoric']","['Area Majority \\/ Influence', 'Card Drafting', 'Grid Movement', 'Modular Board', 'Take That', 'Tile Placement']"

Brass: Lancashire,28720,2007,2,4,60,120,14,8.13976,16088,"['Economic', 'Industry \\/ Manufacturing', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Network and Route Building']"

Spyfall,166384,2014,3,8,15,15,13,6.95976,16060,"['Bluffing', 'Deduction', 'Humor', 'Party Game', 'Spies\\/Secret Agents']","['Acting', 'Memory', 'Role Playing', 'Traitor Game', 'Voting']"

Cyclades,54998,2009,2,5,60,90,13,7.52511,16051,"['Ancient', 'City Building', 'Civilization', 'Fighting', 'Miniatures', 'Mythology']","['Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Card Drafting', 'Dice Rolling', 'Set Collection']"

Troyes,73439,2010,2,4,90,90,12,7.76635,15958,"['Dice', 'Economic', 'Medieval']","['Area Majority \\/ Influence', 'Dice Rolling', 'Worker Placement']"

Wingspan,266192,2019,1,5,40,70,10,8.08825,15958,"['Animals', 'Card Game', 'Economic', 'Educational']","['Card Drafting', 'Dice Rolling', 'Drafting', 'Hand Management', 'Set Collection', 'Solo \\/ Solitaire Game']"

Sushi Go Party!,192291,2016,2,8,20,20,8,7.50035,15717,"['Card Game', 'Party Game']","['Card Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']"

Alchemists,161970,2014,2,4,120,120,13,7.694,15608,"['Deduction', 'Fantasy']","['Card Drafting', 'Constrained Bidding', 'End Game Bonuses', 'Events', 'Hand Management', 'Turn Order: Auction']"

Clue,1294,1949,3,6,45,45,8,5.6592,15603,"['Bluffing', 'Deduction', 'Movies \\/ TV \\/ Radio theme', 'Murder\\/Mystery']","['Grid Movement', 'Memory', 'Roll \\/ Spin and Move']"

Catan: Cities &amp; Knights,926,1998,3,4,90,90,12,7.4599,15589,"['Expansion for Base-game', 'Medieval', 'Negotiation']","['Dice Rolling', 'Hand Management', 'Memory', 'Modular Board', 'Network and Route Building', 'Trading']"

Formula D,37904,2008,2,10,60,60,8,7.03429,15572,"['Racing', 'Sports']","['Dice Rolling', 'Different Dice Movement', 'Grid Movement', 'Player Elimination', 'Push Your Luck', 'Race']"

Exploding Kittens,172225,2015,2,5,15,15,7,5.97191,15513,"['Animals', 'Card Game', 'Comic Book \\/ Strip', 'Humor']","['Hand Management', 'Player Elimination', 'Push Your Luck', 'Set Collection', 'Take That']"

The Pillars of the Earth,24480,2006,2,4,90,120,12,7.3021,15335,"['Economic', 'Medieval', 'Novel-based', 'Religious']","['Events', 'Worker Placement', 'Worker Placement, Different Worker Types']"

Diamant,15512,2005,3,8,30,30,8,6.8258,15177,"['Adventure', 'Bluffing', 'Exploration']","['Move Through Deck', 'Push Your Luck', 'Simultaneous Action Selection']"

Mice and Mystics,124708,2012,1,4,60,90,7,7.35443,14916,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Role Playing', 'Storytelling', 'Variable Player Powers']"

Zombie Dice,62871,2010,2,99,10,20,10,6.21738,14871,"['Dice', 'Horror', 'Humor', 'Party Game', 'Zombies']","['Dice Rolling', 'Push Your Luck', 'Re-rolling and Locking']"

Zombicide,113924,2012,1,6,60,60,14,7.19631,14860,"['Horror', 'Miniatures', 'Zombies']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board']"

Modern Art,118,1992,3,5,45,45,10,7.37806,14859,"['Card Game', 'Economic']","['Auction\\/Bidding', 'Auction: English', 'Auction: Once Around', 'Auction: Sealed Bid', 'Auction: Turn Order Until Pass', 'Commodity Speculation']"

Pandemic: On the Brink,40849,2009,2,5,45,45,8,8.08016,14847,"['Environmental', 'Expansion for Base-game', 'Medical', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Secret Unit Deployment', 'Set Collection']"

Catan: Seafarers,325,1997,3,4,90,90,10,7.15646,14774,"['Civilization', 'Expansion for Base-game', 'Exploration', 'Nautical', 'Negotiation']","['Dice Rolling', 'Hand Management', 'Memory', 'Modular Board', 'Network and Route Building', 'Trading']"

Ingenious,9674,2004,1,4,45,45,10,7.13618,14704,['Abstract Strategy'],"['Hand Management', 'Pattern Building', 'Team-Based Game', 'Tile Placement']"

Fluxx,258,1997,2,6,5,30,8,5.68255,14687,['Card Game'],"['Hand Management', 'Set Collection']"

Battle Line,760,2000,2,2,30,30,12,7.41716,14501,"['Ancient', 'Card Game', 'Deduction']","['Hand Management', 'Set Collection']"

Jamaica,28023,2007,2,6,30,60,8,7.05566,14426,"['Nautical', 'Pirates', 'Racing', 'Transportation']","['Dice Rolling', 'Hand Management', 'Race', 'Simultaneous Action Selection']"

Carcassonne: Expansion 2 – Traders &amp; Builders,5405,2003,2,6,60,60,13,7.60424,14390,"['City Building', 'Expansion for Base-game', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Set Collection', 'Tile Placement']"

Escape: The Curse of the Temple,113294,2012,1,5,10,10,8,7.02223,14390,"['Adventure', 'Dice', 'Electronic', 'Exploration', 'Real-time']","['Cooperative Game', 'Dice Rolling', 'Elapsed Real Time Ending', 'Grid Movement', 'Modular Board', 'Push Your Luck']"

Spirit Island,162886,2017,1,4,90,120,13,8.33483,14405,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']","['Area Majority \\/ Influence', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Simultaneous Action Selection', 'Solo \\/ Solitaire Game']"

Sherlock Holmes Consulting Detective: The Thames Murders &amp; Other Cases,2511,1981,1,8,60,120,13,7.78883,14304,"['Deduction', 'Murder\\/Mystery', 'Novel-based', 'Post-Napoleonic', 'Spies\\/Secret Agents']","['Cooperative Game', 'Solo \\/ Solitaire Game', 'Storytelling']"

Century: Spice Road,209685,2017,2,5,30,45,8,7.37297,14272,"['Card Game', 'Economic', 'Medieval']","['Action Retrieval', 'Card Drafting', 'Contracts', 'Deck, Bag, and Pool Building', 'Hand Management', 'Increase Value of Unchosen Resources']"

The Princes of Florence,555,2000,2,5,75,100,12,7.5443,14196,"['City Building', 'Renaissance']","['Auction\\/Bidding', 'Grid Coverage', 'Tile Placement']"

Dixit: Odyssey,92828,2011,3,12,30,30,8,7.47693,14142,"['Card Game', 'Humor', 'Party Game']","['Simultaneous Action Selection', 'Storytelling', 'Team-Based Game', 'Voting']"

Qwirkle,25669,2006,2,4,45,45,6,6.79159,14083,['Abstract Strategy'],"['Hand Management', 'Pattern Building', 'Tile Placement']"

Kemet,127023,2012,2,5,90,120,13,7.73454,14071,"['Ancient', 'Fighting', 'Miniatures', 'Mythology']","['Action Points', 'Area Majority \\/ Influence', 'Area Movement', 'Card Drafting', 'Hand Management']"

Friday,43570,2011,1,1,25,25,13,7.18202,13978,"['Adventure', 'Card Game', 'Fighting', 'Novel-based', 'Pirates']","['Deck, Bag, and Pool Building', 'Hand Management', 'Solo \\/ Solitaire Game']"

Mr. Jack,21763,2006,2,2,30,30,9,7.03674,13946,"['Deduction', 'Murder\\/Mystery']","['Grid Movement', 'Variable Player Powers']"

Space Alert,38453,2008,1,5,30,30,12,7.46096,13937,"['Electronic', 'Real-time', 'Science Fiction', 'Space Exploration']","['Action Queue', 'Area Movement', 'Cooperative Game', 'Elapsed Real Time Ending', 'Hand Management', 'Simultaneous Action Selection']"

Zombies!!!,2471,2001,2,6,60,90,15,5.82135,13825,"['Exploration', 'Fighting', 'Horror', 'Miniatures', 'Movies \\/ TV \\/ Radio theme', 'Zombies']","['Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Roll \\/ Spin and Move']"

Samurai,3,1998,2,4,30,60,10,7.44119,13764,"['Abstract Strategy', 'Medieval']","['Area Majority \\/ Influence', 'Hand Management', 'Set Collection', 'Tile Placement']"

Codenames: Pictures,198773,2016,2,8,15,15,10,7.31654,13755,"['Card Game', 'Deduction', 'Party Game', 'Spies\\/Secret Agents']","['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']"

Sentinels of the Multiverse,102652,2011,2,5,30,60,8,7.2601,13685,"['Card Game', 'Comic Book \\/ Strip', 'Fighting']","['Cooperative Game', 'Hand Management', 'Solo \\/ Solitaire Game', 'Variable Player Powers']"

Saint Petersburg,9217,2004,2,4,45,60,10,7.3142,13625,"['Age of Reason', 'Card Game', 'Economic']","['Card Drafting', 'Set Collection']"

Sid Meier&#039;s Civilization: The Board Game,77130,2010,2,4,120,240,13,7.44328,13578,"['City Building', 'Civilization', 'Exploration', 'Negotiation', 'Video Game Theme']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Modular Board', 'Rock-Paper-Scissors']"

Catan: 5-6 Player Extension,2807,1996,5,6,120,120,10,6.98691,13544,"['Expansion for Base-game', 'Negotiation']","['Dice Rolling', 'Hand Management', 'Memory', 'Modular Board', 'Network and Route Building', 'Trading']"

Dominion: Seaside,51811,2009,2,4,30,30,13,8.05587,13523,"['Card Game', 'Expansion for Base-game', 'Medieval', 'Nautical']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"

Biblios,34219,2007,2,4,30,30,10,7.20452,13519,"['Card Game', 'Medieval', 'Religious']","['Auction\\/Bidding', 'Card Drafting', 'Hand Management', 'Push Your Luck', 'Set Collection']"

Chaos in the Old World,43111,2009,3,4,60,120,13,7.67415,13502,"['Fantasy', 'Fighting', 'Horror', 'Mythology', 'Wargame']","['Action Points', 'Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Role Playing']"

Lord of the Rings,823,2000,2,5,60,90,12,6.75537,13371,"['Adventure', 'Fantasy', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Set Collection', 'Variable Player Powers']"

Alien Frontiers,48726,2010,2,4,90,90,13,7.44284,13368,"['Dice', 'Science Fiction']","['Area Majority \\/ Influence', 'Card Drafting', 'Dice Rolling', 'Worker Placement with Dice Workers']"

Innovation,63888,2010,2,4,45,60,12,7.2368,13370,"['Card Game', 'Civilization']","['Hand Management', 'Melding and Splaying', 'Variable Phase Order']"

Zooloretto,27588,2007,2,5,45,45,8,6.84806,13184,['Animals'],"['Set Collection', 'Tile Placement']"

Trajan,102680,2011,2,4,60,120,12,7.77535,13186,"['Ancient', 'Political']","['Area Movement', 'Card Drafting', 'Hand Management', 'Mancala', 'Rondel', 'Set Collection']"

Last Night on Earth: The Zombie Game,29368,2007,2,6,60,90,12,6.96251,13168,"['Fighting', 'Horror', 'Miniatures', 'Zombies']","['Dice Rolling', 'Hand Management', 'Modular Board', 'Roll \\/ Spin and Move', 'Team-Based Game', 'Variable Player Powers']"

Captain Sonar,171131,2016,2,8,45,60,14,7.61543,13143,"['Deduction', 'Fighting', 'Nautical', 'Real-time']","['Grid Movement', 'Hidden Movement', 'Line Drawing', 'Real-Time', 'Role Playing', 'Secret Unit Deployment']"

Castle Panic,43443,2009,1,6,60,60,10,6.66717,13103,"['Fantasy', 'Fighting', 'Medieval']","['Campaign \\/ Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Semi-Cooperative Game', 'Solo \\/ Solitaire Game']"

Secret Hitler,188834,2016,5,10,45,45,13,7.58082,13085,"['Bluffing', 'Card Game', 'Deduction', 'Humor', 'Party Game', 'Political']","['Hidden Roles', 'Player Elimination', 'Team-Based Game', 'Traitor Game', 'Voting']"

Concept,147151,2013,4,12,40,40,10,6.86859,12852,"['Deduction', 'Party Game']","['Communication Limits', 'Team-Based Game']"

Scotland Yard,438,1983,3,6,45,45,10,6.50421,12807,"['Deduction', 'Travel']","['Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']"

Russian Railroads,144733,2013,2,4,90,120,12,7.79081,12809,"['Industry \\/ Manufacturing', 'Trains']",['Worker Placement']

A Feast for Odin,177736,2016,1,4,30,120,12,8.17948,12774,"['Economic', 'Industry \\/ Manufacturing', 'Medieval', 'Puzzle']","['Automatic Resource Growth', 'Income', 'Push Your Luck', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']"

Tiny Epic Galaxies,163967,2015,1,5,30,45,14,7.39097,12689,"['Dice', 'Science Fiction', 'Space Exploration']","['Area Majority \\/ Influence', 'Dice Rolling', 'Variable Player Powers']"

Quarriors!,91536,2011,2,4,30,30,14,6.77412,12646,"['Dice', 'Fantasy', 'Fighting']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Dice Rolling']"

King of New York,160499,2014,2,6,40,40,10,7.00809,12493,"['Dice', 'Fighting', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction']","['Area Movement', 'Card Drafting', 'Dice Rolling', 'King of the Hill', 'Player Elimination', 'Push Your Luck']"

Stratego,1917,1946,2,2,45,45,8,6.0777,12458,"['Abstract Strategy', 'Bluffing', 'Deduction', 'Fighting', 'Memory', 'Napoleonic']","['Grid Movement', 'Memory', 'Secret Unit Deployment']"

Deception: Murder in Hong Kong,156129,2014,4,12,20,20,14,7.51866,12440,"['Bluffing', 'Deduction', 'Murder\\/Mystery', 'Party Game']","['Storytelling', 'Team-Based Game', 'Traitor Game']"

Legends of Andor,127398,2012,2,4,60,90,10,7.22791,12420,"['Adventure', 'Fantasy', 'Fighting', 'Puzzle']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Variable Player Powers']"

Dominion: Prosperity,66690,2010,2,4,30,30,13,8.27082,12413,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"

Gloom,12692,2005,2,4,60,60,13,6.35566,12395,"['Card Game', 'Horror', 'Humor']","['Hand Management', 'Storytelling', 'Take That']"

Catan Card Game,278,1996,2,2,90,90,10,6.73763,12358,"['Card Game', 'City Building', 'Territory Building']","['Card Drafting', 'Dice Rolling', 'Hand Management', 'Trading']"

7 Wonders: Leaders,92539,2011,2,7,40,40,13,7.83042,12354,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']","['Card Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Player Powers']"

Tichu,215,1991,4,4,60,60,10,7.58438,12352,['Card Game'],"['Betting and Bluffing', 'Hand Management', 'Ladder Climbing', 'Team-Based Game', 'Trick-taking']"

Glory to Rome,19857,2005,2,5,60,60,12,7.48495,12333,"['Ancient', 'Card Game', 'City Building', 'Economic']","['Follow', 'Hand Management', 'Set Collection', 'Variable Phase Order']"

Dungeon Lords,45315,2009,2,4,90,90,12,7.40962,12288,"['Economic', 'Fantasy', 'Fighting', 'Humor']","['Action Queue', 'Hand Management', 'Simultaneous Action Selection', 'Tile Placement', 'Worker Placement']"

Neuroshima Hex! 3.0,21241,2006,1,4,30,30,13,7.41344,12267,"['Fighting', 'Science Fiction']","['Hand Management', 'Hexagon Grid', 'Player Elimination', 'Tile Placement', 'Variable Player Powers']"

Letters from Whitechapel,59959,2011,2,6,60,60,14,7.42677,12266,"['Bluffing', 'Deduction', 'Murder\\/Mystery', 'Post-Napoleonic']","['Hidden Movement', 'Memory', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']"

Wits &amp; Wagers,20100,2005,3,7,25,25,10,6.94373,12238,"['Bluffing', 'Party Game', 'Trivia']","['Betting and Bluffing', 'Paper-and-Pencil']"

Shogun,20551,2006,3,5,90,120,12,7.55159,12160,"['Economic', 'Medieval', 'Territory Building']","['Action Queue', 'Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Simultaneous Action Selection', 'Variable Phase Order']"

Mansions of Madness,83330,2011,2,5,120,180,13,7.31981,12155,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Pick-up and Deliver', 'Role Playing']"

Rising Sun,205896,2018,3,5,90,120,14,7.95707,12155,"['Bluffing', 'Fantasy', 'Miniatures', 'Mythology', 'Negotiation', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Set Collection', 'Simultaneous Action Selection', 'Take That', 'Variable Phase Order']"

Through the Desert,503,1998,2,5,45,45,10,7.05908,12031,"['Abstract Strategy', 'Animals', 'Arabian']","['Chaining', 'Enclosure', 'Network and Route Building']"

Root,237182,2018,2,4,60,90,10,8.08574,12006,"['Animals', 'Fantasy', 'Wargame']","['Action Queue', 'Action Retrieval', 'Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Hand Management']"

Boss Monster: The Dungeon Building Card Game,131835,2013,2,4,30,30,13,6.30545,11997,"['Card Game', 'Fantasy', 'Video Game Theme']","['Hand Management', 'Player Elimination', 'Take That', 'Variable Player Powers']"

Photosynthesis,218603,2017,2,4,30,60,10,7.21286,11927,"['Abstract Strategy', 'Environmental']",['Action Points']

Mechs vs. Minions,209010,2016,2,4,60,90,14,8.10498,11908,"['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']","['Action Queue', 'Card Drafting', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Role Playing']"

The 7th Continent,180263,2017,1,4,5,1000,14,8.40492,11907,"['Adventure', 'Card Game', 'Exploration', 'Science Fiction']","['Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Addition', 'Modular Board', 'Scenario \\/ Mission \\/ Campaign Game']"

Talisman (Revised 4th Edition),27627,2007,2,6,90,90,13,6.53235,11881,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Dice Rolling', 'Role Playing', 'Roll \\/ Spin and Move', 'Variable Player Powers']"

Magic Maze,209778,2017,1,8,15,15,8,7.14886,11827,"['Exploration', 'Fantasy', 'Maze', 'Real-time']","['Cooperative Game', 'Grid Movement', 'Modular Board', 'Variable Player Powers']"

Merchants &amp; Marauders,25292,2010,2,4,180,180,13,7.43349,11817,"['Adventure', 'Fighting', 'Nautical', 'Pirates', 'Transportation']","['Action Points', 'Area Movement', 'Dice Rolling', 'Pick-up and Deliver', 'Variable Player Powers']"

The Mind,244992,2018,2,4,15,15,8,7.00949,11615,"['Card Game', 'Number']",['Cooperative Game']

Notre Dame,25554,2007,2,5,45,75,10,7.3625,11522,"['Economic', 'Renaissance']","['Area Majority \\/ Influence', 'Card Drafting', 'Point to Point Movement']"

Evolution,155703,2014,2,6,60,60,12,7.18796,11497,"['Animals', 'Card Game', 'Educational', 'Environmental', 'Fighting', 'Prehistoric']","['Action Points', 'Hand Management', 'Push Your Luck', 'Secret Unit Deployment', 'Simulation', 'Simultaneous Action Selection']"

Space Hulk: Death Angel – The Card Game,71721,2010,1,6,30,60,13,6.99094,11485,"['Card Game', 'Fighting', 'Science Fiction']","['Action Queue', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Solo \\/ Solitaire Game', 'Variable Player Powers']"

Perudo,45,1800,2,6,15,30,8,6.9171,11472,"['Bluffing', 'Dice', 'Movies \\/ TV \\/ Radio theme', 'Party Game']","['Betting and Bluffing', 'Dice Rolling', 'Player Elimination']"

Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,133038,2013,1,4,90,90,13,7.25613,11428,"['Adventure', 'Card Game', 'Fantasy', 'Fighting']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Role Playing', 'Variable Player Powers']"

Onitama,160477,2014,2,2,15,20,8,7.45268,11411,"['Abstract Strategy', 'Ancient']","['Grid Movement', 'Hand Management']"

Lewis &amp; Clark,140620,2013,1,5,120,120,14,7.51179,11406,"['American West', 'Racing']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement', 'Worker Placement']"

Dungeon Petz,97207,2011,2,4,90,90,13,7.50381,11399,"['Animals', 'Fantasy', 'Humor']","['Auction\\/Bidding', 'Hand Management', 'Simultaneous Action Selection', 'Worker Placement']"

Diplomacy,483,1959,2,7,360,360,12,7.05503,11375,"['Bluffing', 'Negotiation', 'Political', 'Post-Napoleonic', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Player Elimination', 'Simultaneous Action Selection']"

Libertalia,125618,2012,2,6,45,45,14,7.19256,11336,"['Card Game', 'Pirates']","['Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Phase Order']"

Agricola: All Creatures Big and Small,119890,2012,2,2,30,30,13,7.41726,11313,"['Animals', 'Farming']","['Automatic Resource Growth', 'Enclosure', 'Tile Placement', 'Worker Placement']"

